number,tweets,positive  match,negative  match,score,polarity
399,had  his  Supreme  Court  Justice  s  Neil  Gorsuch  and  Brett  Kavanaugh  confirmed  Moved  U  S  Embassy  in  Israel  to  Jerusalem  Agreed  to  a  new  trade  deal  with  Mexico  amp  Canada  that  will  increase  jobs  here  and  coming  in,supreme,,1,positive
400,Giving  away  some  DZ  sleeves  to  winFollow  Winner  announced  3  14  US  Canada  Win,winner|win,,2,positive
401,Except  with  my  luck  Canada  would  find  a  cure  in  an  instant  with  only  1  000  people  left  when  the  bar  was  only  at  50  just  a  second  ago,luck|cure,,2,positive
402,Air  Canada  is  suspending  all  flights  between  Canada  and  Italy  as  of  tomorrow  They  say  the  last  flight  departing  for  R,,,0,neutral
403,B  C  ports  prepare  for  an  uncertain  cruise  ship  season,,uncertain,-1,negative
404,Canada  Ukraine  Canakraine,,,0,neutral
405,U  of  M  profs  get  1M  to  research  First  Nations  coronavirus  response,,,0,neutral
406,I  m  in  Nova  Scotia  Born  and  raised  I  don  t  blame  all  economic  issues  on  JT  for  my  region  but  like  Alberta  it  s  seems  the  land  between  me  and  you  has  taken  the  upper  hand  over  JT  time  in  office  Central  Canada  is  king  With  this  government  the  east  ends  in  Quebec,like,blame|issues,-1,negative
407,Canada  all  doctors  should  begin  looking  into  attempting  similar  treatment  guidelines  to  South  Korea  Chloroquine  5g,,,0,neutral
408,Thank  you  Pray  for  us,thank,,1,positive
409,The  racialized  income  gap  increased  substantially  between  2001  and  2016  with  white  men  earning  more  than  15  000  than  Black  men  and  21  of  Blacks  living  in  low  income  with  correspondingly  high  levels  of  child  poverty,,poverty,-1,negative
410,The  government  has  closed  its  injectable  opioid  treatment  program  to  new  patients  Existing  patients  have  one  year,,,0,neutral
411,Coronavirus  deathsChina  3119Italy  463Iran  237South  Korea  53France  30Spain  30US  22Japan  17Iraq  6UK,,,0,neutral
412,Coronavirus  deathsChina  3136Italy  631Iran  291S  Korea  60Spain  35France  33US  28Japan  10Iraq  7UK  6Ne,,,0,neutral
413,Closing  schools  in  Canada  because  of  the  coronavirus,,,0,neutral
414,Crack  and  Canada,,crack,-1,negative
415,Excited  to  dig  deep  in  Ontario  Canada  health  advocacy  with  and  on  April,excited,,1,positive
416,The  reason  it  s  not  everyone  s  preferred  healthcare  plan  is  because  it  won  t  do  what  you  re  saying  it  will  Medicaid  will  never  be  enough  to  cover  everyone  Why  cut  corners  when  you  can  do  what  our  allies  like  Israel  France  Australia  and  Canada  have  done  for  decades,won|enough|like,,3,positive
417,Mayor  s  knowledge  of  L  bid  shortfall  disconcerting  councillors  say,,disconcerting,-1,negative
418,Disgusting  absolutely  disgusting  This  is  what  Canada  needs  to  eliminate,,disgusting,-2,negative
419,I  m  from  Canada  so  I  watch  on,,,0,neutral
420,The  Chief  Medical  officer  for  Alberta  Canada  confirms  that  one  of  seven  cases  of  Covid  19  was  a  person  who  returned  from,,,0,neutral
421,So  does  he  To  Canada,,,0,neutral
422,Since  Liverpool  last  won  the  league  I  ve  Been  fired  out  of  a  cock  Squeezed  out  of  a  vagina  Done  my  GCSEs  5  years  o,won,,1,positive
423,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
424,Huge  congrats  to  Courtney  Wentzell  and  the  entire  team  for  holding  Cape  Breton  Centre,,,0,neutral
425,Treat  me  like  I  deserve  and  I  will  treat  you  like  you  want  Toronto  amp  FMTY,like,,2,positive
426,Canadian  friends  spread  the  word  to  your  American  friends  living  in  Canada  Tell  them  You  can  vote  from  wherever  you  ar,,,0,neutral
427,Hey  Canada  Did  you  get  your  yet  I  did  Support,support,,1,positive
428,He  ll  be  next  seen  in  the  Canada  s  Global  T20  league  if  I  m  not  wrong  It  ll  only  help  the  league,,wrong,-1,negative
429,It  is  also  in  Canada  for  all  your  Canadians  Eh  Blimey  it  s  also  available  in  the  UK  as  well,available|well,,2,positive
430,I  experienced  my  first  panic  attack  and  was  seriously  contemplating  crossing  illegally  into  Canada,,panic|attack|illegally,-3,negative
431,Canadian  friends  spread  the  word  to  your  American  friends  living  in  Canada  Tell  them  You  can  vote  from  wherever  you  ar,,,0,neutral
432,This  should  be  happening  here  Our  neighbors  to  the  the  north  are  truly  progressive  Canada  mov,progressive,,1,positive
433,Incredible  run  by  Bencic  in  Canada  in  2015  Then  she  also  d  USO  Champ  to  be  Pennetta  in  Cincy  the  following  week,incredible|champ,,2,positive
434,Get  your  laughs  on  with  Sean  Collins  on  at  for  Canada  s  Best  Comedy  Listen  Laugh  Share,best,,1,positive
435,NEW  We  ve  set  up  a  web  page  that  takes  a  comprehensive  look  at  MLI  experts  arguments  for  why  Canada  should  block,comprehensive,,1,positive
436,step  1  -  stop  using  public  money  to  bail  out  failing  oil  companies  step  2  -  pay  oil  workers  to  retrainstep  3  -  build  ren,,failing,-1,negative
437,People  want  universal  healthcare  they  just  believe  Bernie  s  way  isn  t  the  right  way  to  get  there  For  us  in  Canada  it  s  easy  to  say  universal  healthcare  is  a  no-brainer  but  in  the  States  they  d  have  to  shrink  and  redo  and  entire  industry  which  takes  time  and  money,right|easy,,2,positive
438,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
439,Aburadako  -  Aburadako  1996  Aphex  Twin  -  SAW  85-92Boards  of  Canada  -  Music  Has  The  Right  to  ChildrenBoredoms  -  Super  AEBuck-Tick  -  kurutta  taiyouGodflesh  -  HymnsMad  Capsule  Markets  -  POPMuslimgauze  -  Hamas  ArcPublic  Enemy  -  Fear  of  a  Black  Planet,right|super,enemy|fear,0,neutral
440,Fuck  the  USA  Canada  is  better,better,fuck,0,neutral
441,Any  lonely  women  in  Canada  looking  to  sponsor  ya  mans  I  ll  promise  you  tech  support  great  air  fryer  meals  and  life  chan,promise|support|great,lonely,2,positive
442,ThomasMulcair  Here  s  is  my  column  in  the  Toronto  Sun  for  this  week  Enjoy  Voici  ma  chronique  de  cette  semaine  Bonne  lecture  MULCAIR  It  s  time  Canada  gets  serious  about  sustainable  solutions,enjoy|sustainable,,2,positive
443,Just  ordered  Use  promo  code  PAPATRACK  for  25  off  your  next  regular  menu  price  order  U  S  amp  Canada  online  only,,,0,neutral
444,Head  of  Polish  Figure  Skating  Association  recommends  skipping  World  Championships  in  Canada  Montreal  By  tomorrow  athle,,,0,neutral
445,We  are  hearing  at  the  Ethics  Cttee  yesterday  Trudeau  s  Liberals  bribed  the  Bloc  to  support  him  blocking  an  inve,support,,1,positive
446,As  of  6  05PM  Canada  Line  is  experiencing  temporarily  system  hold  and  delays  due  to  another  stalled  train  at  Sea  I,,delays,-1,negative
447,This  guy  on  the  Lightning  s  twitter  blaming  Canada  for  their  team  losing  And  I  thought  Leafs  Twitter  was  bad,,losing|bad,-2,negative
448,Coronavirus  deathsChina  3136Italy  631Iran  291S  Korea  60Spain  35France  33US  28Japan  10Iraq  7UK  6Ne,,,0,neutral
449,Busy  Pizza  Shop  In  Great  Location  For  Sale,great,,1,positive
450,You  know  where  they  don  t  have  a  survival  of  the  fittest  policy  on  Denmark  and  Canada,survival,,1,positive
451,They  should  do  it  to  contain  thousands  of  illegal  migrants  coming  through  to  by  Roxham  road,,illegal,-1,negative
452,My  husband  is  a  veteran  of  the  United  States  Army  and  a  dual  citizen  of  Canada  and  the  United  States  but  he  is  an  illegal  alien  in  Ontario  as  he  doesn  t  have  any  ID  except  a  California  driver  s  licence  and  passport  which  have  expired  as  he  has  been  held  in  Ontario  over  5  years,,illegal|expired,-2,negative
453,this  dweeb  just  gave  us  the  ammunition  we  need  to  solidify  our  objective  as  researchers  writers  and  investi,,,0,neutral
454,No  they  didn  t  They  said  they  cannot  afford  to  subsidize  costly  accessible  vehicles  while  their  so  called  competition  Uber  Lyft  are  exempt  from  providing  any  accessible  service,afford|subsidize|accessible,costly,3,positive
455,Excited  to  dig  deep  in  Ontario  Canada  health  advocacy  with  and  on  April  4  2020  -  check  out  to  register  and  for  more  details,excited,,1,positive
456,BreanneBanks  Italian  Canadian  Beauty  GTA  amp  Fly  Me  to  You,beauty,,1,positive
457,Canada  releases  coronavirus  guidelines  on  when  to  cancel  major  events,,,0,neutral
458,You  re  pretty  active  on  twitter  now  eh  Still  no  concrete  steps  that  will  alter  history  tho  Weak,pretty,weak,0,neutral
459,You  re  always  welcome  to  hide  out  in  Canada,welcome,,1,positive
460,Premier  Pallister  is  right  Adopting  the  UNDRIP  would  create  even  more  confusion  and  undermine  genu,premier|right,confusion|undermine,0,neutral
461,I  really  don  t  care  whether  he  stays  or  goes  anymore  The  time  to  save  Canada  has  passed  We  need  to  build,,,0,neutral
462,Back  from  Canada  Come  chill  and  request  songs  for  me  to  sing  to  you  beautiful  people,beautiful,chill,0,neutral
463,This  is  ugly  for  Alberta  Western  Canada  Select  WCS  Alberta  s  heavy  crude  is  down  40  today  It  was  on  a  delay  yesterday,,ugly|crude|delay,-3,negative
464,Canada  will  do  the  5G  sign  up  with  the  ChiComs  soon  We  re  going  to  be  toast,,,0,neutral
465,This  website  gives  real  time  updates  to  the  Coronavirus  outbreak  in  the  United  States  and  Canada  They  aggregate  informati,,outbreak,-1,negative
466,What  can  do  for  you  Vol  3  782Recipients  of  in  cancelled  Pilot  Study  stay  in  work  but  to  stay  healthier  while  doing  so-  with  improved  diet  better  housing  security  and  less  frequent  hospital  visits,work|improved|better,,3,positive
467,That  doesn  t  mean  there  s  lt  100  cases  across  all  of  Canada  I  highly  doubt  that,,doubt,-1,negative
468,And  donations  to,,,0,neutral
469,Ayy  nice  stickers,nice,,1,positive
470,Mt  Horne  was  formerly  intended  as  an  Ungulate  Winter  Range  to  protect  old-growth  habitat  of  black-tailed  deer  before  bein,protect,,1,positive
471,With  a  population  of  roughly  50  000  people  this  is  embarrassing  There  is  zero  reason  to  have  a  this  much  of  a  backlog  I  love  in  a  town  in  Ontario  Canada  that  has  a  population  Of  125  000  people  During  our  federal  election  last  year  I  waited  5  minutes  at  my  polling  station,love,embarrassing,0,neutral
472,Kelly  from  Ontario  Canada  I  m  infected  with  bronchitis  am  I  still  allowed  to  hang  out  here,,infected|hang,-2,negative
473,I  meant  staying  put,,,0,neutral
474,Rose  Paradis  In  VanCouver  A  refreshingly  french  fun  seductive  with  a  sexy  Feminine  approach  cour,fun|sexy,,2,positive
475,Air  Canada  is  suspending  all  flights  between  Canada  and  Italy,,,0,neutral
476,Great  video  Dr  Bonnie  Henry  delivers  B  C  update  CBC  News,great,,1,positive
477,From  Canada  Why  don  t  you  worry  about  the  loser  you  have  running  your  country,,worry|loser,-2,negative
478,Calvin  who  would  you  have  as  Canada  s  leader,,,0,neutral
479,took  these  when  i  went  to  canada  lt  3,,,0,neutral
480,I  really  wanna  go  to  Canada  this  summer,,,0,neutral
481,The  question  for  Canadians  is  whether  even  the  best  response  at  home  will  prevent  a  mass  outbreak  and  chaos  if  the  U  S  co,best,outbreak|chaos,-1,negative
482,MPs  REACT  Should  illegals  crossing  the  border  into  Canada  be  quarantined  for  coronavirus,,,0,neutral
483,It  s  been  44  days  since  the  first  case  of  COVID19  in  Canada  And  still  no  help  for  those  who  don  t  have  sick  leave  a,,sick,-1,negative
484,Mila  MaxwellCanadian  Companion  amp  Geeky  Girl  Next-Door  Ottawa  Toronto,geeky,,1,positive
485,As  Coachella  and  Hatsune  Miku  s  appearance  at  the  festival  has  been  postponed  the  MIKU  EXPO  2020  USA  amp  Canada  tour  dates,,,0,neutral
486,It  s  time  for  many  smaller  countries  Canada  is  done  I  think  it  s  soon  time  to  discuss  the  complete  dissolution  of  Ca,,dissolution,-1,negative
487,Mt  Horne  was  formerly  intended  as  an  Ungulate  Winter  Range  to  protect  old-growth  habitat  of  black-tailed  deer  before  bein,protect,,1,positive
488,Canada  releases  coronavirus  guidelines  on  when  to  cancel  major  events,,,0,neutral
489,A  Newfoundlander  is  leading  the  global  fight  against  COVID-19  and  wants  you  to  know  the  facts,leading,,1,positive
490,Trudeau  is  too  gutless  to  do  it  Air  Canada  takes  the  initiative,,gutless,-1,negative
491,Nathalie  Chalifour  will  proudly  represent  and  interveners  before  the  in  a  c,,,0,neutral
492,incidence  rates  for  violence  against  trans  folks  in  Canada  are  very  high  68  experienced  verbal  harassment  42  experienc,,harassment,-1,negative
493,This  website  gives  real  time  updates  to  the  Coronavirus  outbreak  in  the  United  States  and  Canada  They  aggregate  informati,,outbreak,-1,negative
494,Sweden  is  already  screwed  and  so  will  be  Canada  pretty  soon  unless  action  is  taken  stem  the  rot  im,pretty,screwed|rot,-1,negative
495,NARCO  TRAFFICKING  TUNNELS  DISCOVERED  HIDDEN  BENEATH  FAST  FOOD  RESTAURANTS  IN  THE  CORRIDOR,fast,,1,positive
496,The  government  has  closed  its  injectable  opioid  treatment  program  to  new  patients  Existing  patients  have  one  year,,,0,neutral
497,The  Chief  Medical  officer  for  Alberta  Canada  confirms  that  one  of  seven  cases  of  Covid  19  was  a  person  who  returned  from,,,0,neutral
498,What  s  more  dangerous  to  Canada  today,,dangerous,-1,negative
499,omg  for  real  for  real  canada  has  medication  i  need  for  my  medical  condition  so  we  have  to  go,,,0,neutral
500,By  the  time  Alberta  gets  through  COVID-19  Global  Energy  War  Bill  C69  Bill  C48  Pipeline  Blockades  Carbon  Taxes  and,,,0,neutral
501,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
502,Canopy  Growth  has  unveiled  what  it  calls  a  production  optimization  plan  for  its  operations  in  Canada  which  includes  the  clos,,,0,neutral
503,Karina  ValentinaSweet  charming  elegant  lady  with  passionate  heart  mesmerizing  eyes  and  graceful  figu,charming|elegant|passionate|mesmerizing|graceful,,5,positive
504,According  to  Homeless  Hub  homelessness  among  Indigenous  people  in  Canada  today  is  a  consequence  of  contemporary  racism  dis,,racism,-1,negative
505,Tragically  thousands  of  animal  die  in  each  year  Over  700  00  farm  animals  perished  in  alone  between  2015  and  2019  including  551  261  and  109  081  according  to  the  Humane  Society  International,humane,tragically|die,-1,negative
506,So  are  we  looking  at  implementing  if  things  escalate  -  hope  you  re  watching  to  see  if  Canada  is  following  emerging  best  practices,best,,1,positive
507,As  countries  around  the  world  enforce  quarantines  and  restrict  travel  pressure  is  mounting  on  Canada  to  take  similar  measures,,restrict,-1,negative
508,Canadian  friends  spread  the  word  to  your  American  friends  living  in  Canada  Tell  them  You  can  vote  from  wherever  you  ar,,,0,neutral
509,A  personal  story  that  is  part  of  Canada  s  history,,,0,neutral
510,lippie  is  NOW  Available  WORLDWIDE  in  stores  Philippines  UAE  Saudi  Arabia  Kuwai,available,,1,positive
511,Julia  Quinn  The  Ideal  Companion  Sexy  Witty  Charming  Captivating  Angelic  Heart  amp  Smile  Toronto  Onta,ideal|sexy|witty|charming|captivating|angelic|smile,,7,positive
512,I  am  disgusted  in  for  allowing  this  tribe  to  get  trampled  on  by  his  government  it  is  hard  to  agree  that,,disgusted|hard,-2,negative
513,4  Slots  Left  Rappers  amp  R  amp  B  Singers  Perform  In  Canada  At  The  Full  Throttle  Concert  Toronto  ON  -  Shows  Looking  for  Bands  and  Touring  Acts  via,,throttle,-1,negative
514,you  can  see  major  airports  and  flight  status  at  our  international  division  Yes  you  can  even  see  flights,,,0,neutral
515,Serious  Question  to  Did  you  and  your  entourage  get  tested  when  you  returned  to  Canada,,,0,neutral
516,It  s  not  2015  anymore  Bob  People  have  wised  up  globally  and  in  Canada,,,0,neutral
517,it  s  because  canada  has  a  well-functioning  arms-length  organization  that  oversees  elections  unlike  the  u  s  where  it  s  up  to  the  state  politicians  not  entirely  sure  who  handles  primaries  though,,,0,neutral
518,This  is  sooooo  cool  I  finally  saw  my  girl  poster  in  Toronto  Minari  is  so  pretty  OMG  Wish  I  can  see  Twice  more  and  mor,cool|pretty,,2,positive
519,On  Ash  Wednesday  MP  the  Shadow  Minister  for  Canada-China  Relations  and  a  Patron  of  Hong  Kong  Watch  met  with,,,0,neutral
520,Air  Canada  halts  all  flights  to  Italy  amid  coronavirus  lockdown,,,0,neutral
521,I  loved  that  just  one  thing  Canada  s  economy  wasn  t  great  neither  were  many  other  countries  in  the  world  from  2016-2019  USA  s  was  above  and  beyond  and  still  is  for  one  reason  Donald  Trump  Last  month  they  created  273K  jobs  and  UE  went  down  to  3  5  He  smart  we  dumb,loved|great|trump|smart,dumb,3,positive
522,It  s  been  44  days  since  the  first  case  of  COVID19  in  Canada  And  still  no  help  for  those  who  don  t  have  sick  leave  a,,sick,-1,negative
523,The  fact  they  re  actually  bringing  guns  if  they  were  there  having  a  nice  night  why  do  you  need  to  bring  a  gu,nice,,1,positive
524,BC  should  be  funding  MySafe  -  pilot  study  to  evaluate  life  saving  role  Where  is  the  leadership  in  BC  Absent,,,0,neutral
525,Head  of  Polish  Figure  Skating  Association  recommends  skipping  World  Championships  in  Canada  Montreal  By  tomorrow  athle,,,0,neutral
526,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
527,A  word  to  my  friends  in  Canadian  PSE  institutions  who  I  know  are  working  hard  on  contingency  planning  right  now  do  som,right,hard,0,neutral
528,Massive  police  brutality  content  warning  Estevan  Saskatchewan  Saskatchewan  needs  an  independent  police  oversight  co,,brutality|warning|oversight,-3,negative
529,Free  CarsIts  possible  if  you  are  new  to  Canada  Just  sign  up  here  No  previous  vehicle  buying  experienceNo  credit  histor,free,,1,positive
530,Canada  s  oldest  recorded  person  turns  113  -  Toronto,,,0,neutral
531,Please  set  up  a  factory  in  Canada  too  We  trucks,,,0,neutral
532,Coronavirus  is  already  taking  a  toll  on  Canada  s  front-line  health-care  workers  -  -  Heroi,,toll,-1,negative
533,I  d  say  probably  55  per  cent  chance  of  no  recession  45  per  cent  a  risk  of  recession  RBC  s  Craight  Wright  said,,recession|risk,-3,negative
534,You  re  going  to  be  repeating  that  last  sentence  for  the  next  18-24  months,,,0,neutral
535,Mayor  knew  SNC-Lavalin  failed  to  meet  technical  bar  before  1  6B  L  vote,,failed,-1,negative
536,A  husband  and  wife  Chinese  spy  team  were  recently  removed  from  a  Level  4  Infectious  Disease  facility  in  Canada  for  sending  p,,,0,neutral
537,Saskatchewan  NDP  urges  premier  to  delay  budget  following  oil  price  crash,premier,delay|crash,-1,negative
538,Canada  and  Mexico  has  less  cases  than  the  U  S  combined  And  you  re  still  a  fucking  moron,,fucking|moron,-2,negative
539,I  am  in  Canada  still  to  cold  to  shoot  4  more  weeks  to  go,,cold,-1,negative
540,He  wants  a  woman  in  Canada  lol  calm  down,calm,,1,positive
541,Congrats  to  amp  for  Se  orita  being  named  the  best  selling  global  single  of  2019  The  collab,best,,1,positive
542,Can  you  folks  down  there  please  just  get  your  sh  t  together  and  sort  this  out  by  Election  Day  I  m  scared  up  here  in  Canada  that  you  re  going  to  screw  up  and  put  him  in  again,,scared,-1,negative
543,How  are  there  humans  on  earth  who  can  do  such  things  that  other  humans  cannot  even  conceive  of  The  depths  of  evil  in  this  world  are  infinite,,evil,-1,negative
544,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
545,As  Coachella  and  Hatsune  Miku  s  appearance  at  the  festival  has  been  postponed  the  MIKU  EXPO  2020  USA  amp  Canada  tour  dates,,,0,neutral
546,Coronavirus  deathsChina  3136Italy  631Iran  291S  Korea  60Spain  35France  33US  28Japan  10Iraq  7UK  6Ne,,,0,neutral
547,Luna  Lace  Let  us  toast  to  animal  pleasures  to  escapism  and  the  good  life  whatever  it  is  and  whereve,good,,1,positive
548,I  hope  we  are  wrong,,wrong,-1,negative
549,Canada  s  probably  the  greatest  peacekeeping  country  in  the  world  Ppl  jus  love  bringing  in  the  nonsense,greatest|love,nonsense,1,positive
550,Huawei  Mate  30  Pro  to  be  finally  offered  in  Canada  Informatic  direction,,,0,neutral
551,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
552,Canada  is  forcing  doctors  to  suggest  suicide  to  their  patients  or  else  have  their  facilities  closed  This  also  means  pallia,,suicide,-1,negative
553,Worth  watching  Verifies  the  entire  political  system  in  is  corrupt  Been  a  downhill,worth,corrupt|downhill,-1,negative
554,Head  of  Ontario  police  asks  for  government  help  to  deal  with  officer  suicides  and  toxic  workplace  culture,,toxic,-1,negative
555,ON  pledged  to  spend  78M  to  re-hire  those  workers  most  of  whom  were  EAs  But  Galipeau  says  the  govt  isn  t  coming  throu,,,0,neutral
556,Canada  Ukraine  Canakraine,,,0,neutral
557,The  latest  crime  statistics  in  Prince  George  were  presented  to  city  council  this  week  This  is  what  the  data  shows,,crime,-1,negative
558,House  of  Commons  Canada-China  committee  passes  motion  to  express  its  grave  concern  over  Hong  Kong  s  arrest  of  pro-demo,,concern,-1,negative
559,Jason  Kenney  We  have  a  unity  problemCanada  What  can  we  do  to  helpJason  give  us  money  or  elseCanada  mabey  you  sh,unity,,1,positive
560,Dr  Tam  you  are  failing  us  Here  is  what  we  should  be  doing,,failing,-1,negative
561,Canada  goose  niggas  be  wearing  their  jackets  in  70  degrees  weather  we  get  it  you  popped  1k  on  a  jacket,,,0,neutral
562,Air  Canada  is  suspending  all  flights  between  Canada  and  Italy  as  of  tomorrow  They  say  the  last  flight  departing  for  R,,,0,neutral
563,Honk  if  you  love  Canada,love,,1,positive
564,In  the  US  the  IRS  has  about  75k  employees  for  327  millions  people  In  Canada  the  bloodsucker  we  have  65k  employees  at  the,,,0,neutral
565,Seven  more  cases  of  COVID-19  coronavirus  reported  in  British  Columbia  brings  Provincial  case  file  total  to  39  BC  also  has  seen  the  only  death  from  the  virus  in  Canada  to  this  point,,death|virus,-2,negative
566,HOLY  CRAP  wins  Michigan  Bernie  is  feeling  the  Bern  Hahahahahahaha  way  to  go  Joe  I  m  so  proud  of  the  way  you  completely  turned  this  around  I  know  I  m  from  Canada  but  I  m  a  MASSIVE  Supporter  of  and  you,holy|wins|proud|supporter,crap,3,positive
567,TOP  Replacement  Earphone  in  Soft  Foam  Sponge  Bearing  Headsets  Covers  BlackOriginal  selling  price  3  99  current  sale  price  2  99  amp  FREE  Shipping  to  USA  CANADA  AUSTRALIA  UK  BRAZIL  NEW  ZEALAND,top|soft|free,,3,positive
568,Can  someone  please  build  something  to  stop  and  block  the  illegal  Prime  Minister  of  Canada  from  doing  illegal  things  i,,illegal,-2,negative
569,Canada  is  forcing  doctors  to  suggest  suicide  to  their  patients  or  else  have  their  facilities  closed  This  also  means  pallia,,suicide,-1,negative
570,WTG  Joe  We  are  cheering  you  on  from  Canada,,,0,neutral
571,City  and  town  planners  community  organization  administrators  and  employers  consult  our  measures  aimed  at  r,,,0,neutral
572,WIND  WARNING  from  Environment  Canada,,warning,-1,negative
573,Ottawa  it  s  not  even  a  real  city  but  it  s  got  some  impressive  corruption  levelsMayor  knew  SNC-Lavalin  failed  to  meet  technical  bar  before  1  6B  L  vote  CBC  News,impressive,corruption|failed,-1,negative
574,Canada  releases  coronavirus  guidelines  on  when  to  cancel  major  events,,,0,neutral
575,Imagine  how  we  feel  here  in  Canada  right  across  the  border  instead  of  across  the  ocean,right,,1,positive
576,In  Canada  registered  via  a  box  on  income  tax  and  multiple  ways  to  change  it  up  to  600  voters  per  poll  600  paper  ballots  per  poll  Never  saw  more  than  12  in  line  at  a  time  All  get  counted  and  reported  that  night  Automatic  recount  if  close  Try  it,,,0,neutral
577,Thank  you  for  remembering  and  supporting  the  families  of  my  father  would  be  proud  of  and  their  spirit,thank|supporting|proud,,3,positive
578,What  about  Canada,,,0,neutral
579,Sick  pedos  and  yet  canada  is  continuing  to  support  treadeu  and  his  muslim  policies  to  change  the  demogr,support,sick,0,neutral
580,Top  White  House  official  lays  out  U  S  case  for  banning  Huawei  from  Canada  s  5G  network  via,top,,1,positive
581,RBC  evacuates  whole  floor  of  office  after  employee  tests  positive  for,positive,,1,positive
582,took  these  when  i  went  to  canada  lt  3,,,0,neutral
583,Canada  and  other  nations  rapidly  putting  up  5G  Wuhan  was  protesting  the  activation  of  their  5G  I  don  t  b,,protesting,-1,negative
584,We  ve  had  them  here  in  Canada  for  the  longest  time,,,0,neutral
585,Congratulations  Democrats  you  just  fucked  this  up  yet  again  I  ll  see  you  soon,congratulations,,1,positive
586,Treat  me  like  I  deserve  and  I  will  treat  you  like  you  want  Toronto  amp  FMTY,like,,2,positive
587,We  are  excited  to  announce  the  release  of  the  first  Trans  PULSE  Canada  National  Report  highlighting  health  and  access  to,excited,,1,positive
588,This  is  sooooo  cool  I  finally  saw  my  girl  poster  in  Toronto  Minari  is  so  pretty  OMG  Wish  I  can  see  Twice  more  and  mor,cool|pretty,,2,positive
589,Conversion  therapy  is  harmful  degrading  and  has  no  place  in  Canada  Period  Yesterday  and  in,,harmful|degrading,-2,negative
590,about  time  canada  closes  schools  or  do  you  want  students  to  die,,die,-1,negative
591,Air  Canada  is  suspending  all  flights  between  Canada  and  Italy  as  of  tomorrow  They  say  the  last  flight  departing  for  R,,,0,neutral
592,I  am  going  to  just  tell  people  I  m  from  Canada  when  they  ask,,,0,neutral
593,STEPPING  UP  WHILE  A  PM  STEPS  OUT  Once  again  Canadian  airlines  are  taking  the  lead  while  an  unserious  PM  attends  feminist,lead,,1,positive
594,Coronavirus  outrage  as  Harvard  gives  students  five  days  to  leave  campus,,outrage,-1,negative
595,Liberal  corruption  rampant  in  Canada  Appreciate  your  folks  Doing  the  world  a  lot  of  good,appreciate|good,corruption|rampant,0,neutral
596,Well  this  is  very  impressive  Do  we  have  anything  like  this  in  Ontario,well|impressive|like,,3,positive
597,A  word  to  my  friends  in  Canadian  PSE  institutions  who  I  know  are  working  hard  on  contingency  planning  right  now  do  som,right,hard,0,neutral
598,Are  you  serious  Can  you  please  address  something  serious  and  important  to  Canadians  like  the  oil  crisis  pipeline  issues  manufacturing  leaving  the  country  red  tape  for  small  business  expansion  or  ridiculous  corporate  taxes  Justin  you  are  the  laughingstock  of  Canada,important|like,crisis|issues|ridiculous|laughingstock,-2,negative
599,ISU  issues  strict  requirements  for  attending  world  figure  skating  champs  in  Montreal,,issues|strict,-2,negative
600,Air  Canada  will  suspend  all  flights  to  Italy  because  ITALY  is  not  allowing  travellers  in  or  out,,,0,neutral
601,Am  sure  Their  Mothers  and  Daughters  are  Proud  Alberta  Premier  Jason  Kenney  Status  of  Wome,proud|premier,,2,positive
602,Don  t  Recall  I  found  a  video  where  they  were  reacting  to  Reggaeton  and  I  clicked  the  video  it,,,0,neutral
603,The  Chief  Medical  officer  for  Alberta  Canada  confirms  that  one  of  seven  cases  of  Covid  19  was  a  person  who  returned  from,,,0,neutral
604,If  I  was  president  I  would  just  give  the  entire  city  of  Boston  to  Canada,,,0,neutral
605,Haha  yesI  wanted  to  apply  to  Canada  for  Uni  but  my  parents  were  hesitant  because  of  the  weather,,hesitant,-1,negative
606,How  many  RCMP  officers  are  also  real  estate  agents  I  ask  since  the  RCMP  are  tasked  with  money  launderi,,,0,neutral
607,Stirring  conversations  in  Ajax  today  about  concerns  over  the  economy  Canadians  can  t  take  much  more  of  this  political  ins,,concerns,-1,negative
608,We  aim  to  make  sure  young  women  see  what  their  career  opportunities  are  and  what  they  should  do  to  get  there  to,,,0,neutral
609,Canada  Must  Shut  Our  Borders  Cancel  School  Nationwide  And  Cancel  All  Large  Public  Gatherings  NOW,,,0,neutral
610,Canadian  friends  spread  the  word  to  your  American  friends  living  in  Canada  Tell  them  You  can  vote  from  wherever  you  are  Just  go  to,,,0,neutral
